subrole	20120314	20120322	20120328	20120403	20120416	20120419	20120423	20120507	20120516	20120521	20120531	20120604	20120613	20120619	20120628	20120705	20120709	20120717	20120802	20120806	20120813	20120820	20120823	20120828	20120903	20120910	20120920	20120924	20121001	20121004	20121015	20121022	20121028	20121105	20121123	20121128	20121220
2'-Deoxyribonucleotide metabolism	165.109113210775	599.267307050181	151.329231923916	225.959148125364	378.510593824295	419.222963867957	378.735140020805	635.444226285927	372.526852842662	368.134141795253	532.156737785344	323.165952764037	377.849793316651	548.75432296103	392.327774405699	418.03839726936	248.032263900766	348.331661552907	424.802017203374	188.709408598164	325.191699339791	684.058897614509	660.288833581418	426.464579896475	501.67467637714	363.372156414016	630.348548666267	349.931453430214	694.450450652513	484.822358448987	658.991396452846	543.882700172728	237.281977720052	405.589756703713	370.303511094118	704.119861326888	560.57052982683
Adaptations to atypical conditions	787.180491568879	2283.48350923209	640.90252905426	926.65142891628	1608.90004425703	1677.52647073502	1363.25847296377	2503.31431703273	1542.32996609494	1516.85498731838	1393.09257978724	1125.1130563247	1223.25835044919	2261.94563701064	1657.0300198648	1942.38534582916	1074.20597458194	1512.26421631276	1479.76959053749	922.130570684443	1453.74133742633	2702.77324515464	2303.94566982205	1810.0103274825	2079.12215669386	1507.0875812889	2276.44364978073	1367.08531096151	2528.58027178785	1777.29945379202	2324.47557961389	1992.64034099659	1021.50076472382	1563.71613695471	1413.07181670215	1767.62588291841	2140.51600367231
Aerobic	106.716896534227	327.734557251808	89.2611686027053	163.439391456017	214.921426979042	303.833913438535	195.003591355387	281.235457833949	186.628524758961	184.358169862314	199.803789381224	140.120892099421	227.480080492146	443.760851682895	292.880995368534	143.862730816786	172.114004167639	276.226663588452	143.385676412655	91.468897425974	121.260654011544	287.012179496506	221.479567114204	124.97050785267	146.522333110362	223.850936892098	261.730982322228	181.259199374169	245.732808762203	167.100616437538	202.104061966058	155.123795040861	143.818047871496	148.797149203385	197.459263211439	155.591544918374	262.028796145909
Amino acids and amines	793.845485357508	2109.67678118538	494.459105432505	821.688117097844	1596.14355523032	1656.65415824987	1382.03073950955	1296.22956083037	1179.21388003934	892.852871952842	804.122829701084	1056.70034824043	737.910656552917	1423.2670269527	1139.82297429183	985.515252214805	646.118447498928	874.658694411039	772.45585909231	461.458963572086	692.92175504034	1374.26411343218	1400.22448047165	941.789820863737	1075.54410142864	1279.10713172815	1572.79972920411	1074.46539532636	1580.68747365737	1155.92968955748	1394.03124976513	1117.59256344953	530.338772230926	1143.54148098819	1445.41591344578	1162.99259938756	1634.20692802358
Amino acids, peptides and amines	857.453982459802	2950.33420467698	635.360845746323	892.349281983681	1738.51936837282	2045.44125604392	1492.98313319324	2045.98633676406	1675.04732203289	1058.60945096615	1192.63967818393	1240.85120813294	1286.75282557026	2164.82983715387	1630.58547858474	1530.86054421085	989.192236915327	1315.560596635	1281.2775188342	718.59525050797	1064.21153594258	2169.06140348108	1905.56201297688	1409.90056909181	1637.4850651834	1383.76446883663	1846.43915977392	1091.82604048977	1892.02571939894	1276.50410593207	1816.98465625362	1546.19422992297	884.375420988456	1064.95614544749	1662.57144930955	1396.41214458971	1667.16822190518
Amino sugars	361.543926493466	777.297054066511	250.880818516006	357.323657390993	613.414165399447	646.589141036216	464.16182988314	1006.57403724805	514.447987241813	709.036527628607	576.572951657686	582.813449691962	502.994877111212	864.331784877996	606.295938723804	766.135454374505	472.806421971386	737.635077149262	491.125466796741	280.078471286645	505.71509105312	1080.79076625292	995.898634150817	735.14351775076	847.633919990915	550.249088635518	885.535674992131	622.674169613664	933.269376744126	646.482605589792	881.741537754827	682.525929624181	479.841963090576	571.921232600214	514.041008074248	655.768350317822	703.46535916079
Anaerobic	184.454621105558	535.245524661536	139.882055206636	231.897131377678	355.755283515444	467.756398559575	308.742537647146	417.096639278609	310.777230202595	235.850197195209	309.761329870922	249.479044139858	346.183466578541	625.5303312216	436.938499138913	257.263186690772	236.999245555195	368.128060168368	255.623958401539	161.131815513227	202.408953803065	437.323396699207	366.112126417231	215.821260341913	252.390584244786	347.417807750225	393.761070621301	272.28221585215	392.321469954279	252.067247035429	356.755327267923	283.133665630757	210.469140618079	228.511971094374	303.552509012701	264.654467752796	409.848142596313
Anions	559.861558641469	1915.09860708552	443.845239552938	571.331983115359	1169.59476779049	1313.12811492846	949.313879190507	1769.54987606029	993.167244949982	1023.64034423093	841.360460215916	833.486438587902	729.466704921315	1247.65223235028	1038.69168914497	1269.53452385441	764.865979671267	966.798168797026	1020.55386368624	591.305744026816	972.124059460402	1878.54217736257	1657.14881908069	1175.15524270043	1339.57547501758	999.639036029329	1422.61266867534	980.956863480936	1576.6211525403	1043.64928326188	1513.72863521707	1240.79557819798	827.759960506791	965.182677037216	980.932244279256	1160.89281371884	1132.29200408559
Aromatic amino acid family	361.417556127906	828.013771412132	241.504897431207	350.353570039333	688.184081991765	637.776244778398	552.806421854767	953.128520023491	575.063886193116	569.179894977984	579.587320184209	537.996868199142	483.90403813683	878.420832447316	628.963800770696	723.978370054757	465.195132443352	647.244992676683	555.812977579571	331.562310960709	527.629690322369	1010.19902025507	898.356588175052	713.8299552614	815.146374821971	578.246276462089	866.177409666709	597.223192585996	906.374814609566	631.357229998175	835.294003702263	726.576306845643	449.670152650055	548.610916130651	536.136169700872	675.905574005632	851.368879968597
