	X120314	X120322	X120328	X120403	X120416	X120419	X120423	X120516	X120531	X120604	X120613	X120619	X120628	X120705	X120709	X120717	X120802	X120806	X120813	X120820	X120823	X120828	X120903	X120920	X120924	X121001	X121004	X121015	X121022	X121028	X121105	X121128	X121220	P1994_101	P1994_102	P1994_103	P1994_104	P1994_105	P1994_106	P1994_107	P1994_108	P1994_109	P1994_110	P1994_111	P1994_112	P1994_113	P1994_114	P1994_115	P1994_116	P1994_117	P1994_118	P1994_119	P1994_120	P1994_121	P1994_122	P1994_123	P1994_124	P1994_125	P1994_126	P1994_127	P1994_128	P1994_129	P1994_130	P2236_101	P2236_102	P2236_103	P2236_104	P2236_105	P2236_106	P2236_107	P2236_108	P2236_109	P2236_110	P2236_111	P2236_112	P2236_113	P2236_114
M00137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00140	174.5983145	136.0687881	98.27902566	113.6895951	146.8500602	149.0907566	82.87358061	139.4422649	69.42238666	143.4724739	76.66174119	102.0516631	128.0502981	303.7088344	77.57676767	103.2349985	150.7805226	121.8548257	148.8632721	194.4773006	227.576444	229.1960728	286.1848301	170.4750373	154.1617308	204.6820535	178.8647368	225.2162695	208.4416975	108.1715334	183.5480921	174.3538674	167.1535952	234.3965555	366.502411	308.2452442	203.6607728	153.5396882	229.0498168	178.0900726	177.7797599	181.4591865	163.0806949	171.0298596	253.4553426	142.4262753	129.0360389	134.8416043	116.336515	142.2650739	155.8933217	135.6848308	156.377052	203.6782415	85.8352447	358.5579026	158.1530899	118.753577	178.9857604	126.2800399	106.7858561	254.4586711	249.8499728	132.4728162	206.914191	104.3198567	143.9549453	137.5779795	118.8683523	126.3786804	112.7752104	101.6568588	217.9035987	216.2556361	171.6666819	138.1507107	170.1738159
M00141	174.5983145	136.0687881	98.27902566	113.6895951	146.8500602	149.0907566	82.87358061	139.4422649	69.42238666	143.4724739	76.66174119	102.0516631	128.0502981	303.7088344	77.57676767	103.2349985	150.7805226	121.8548257	148.8632721	194.4773006	227.576444	229.1960728	286.1848301	170.4750373	154.1617308	204.6820535	178.8647368	225.2162695	208.4416975	108.1715334	183.5480921	174.3538674	167.1535952	234.3965555	366.502411	308.2452442	203.6607728	153.5396882	229.0498168	178.0900726	177.7797599	181.4591865	163.0806949	171.0298596	253.4553426	142.4262753	129.0360389	134.8416043	116.336515	142.2650739	155.8933217	135.6848308	156.377052	203.6782415	85.8352447	358.5579026	158.1530899	118.753577	178.9857604	126.2800399	106.7858561	254.4586711	249.8499728	132.4728162	206.914191	104.3198567	143.9549453	137.5779795	118.8683523	126.3786804	112.7752104	101.6568588	217.9035987	216.2556361	171.6666819	138.1507107	170.1738159
M00165	175.5160673	216.5075923	126.2019811	155.7612885	213.0063951	236.7447527	145.8841473	193.0693089	147.70321	180.3962097	134.7230634	232.8318128	263.0960603	363.1312872	164.1818678	248.7006564	231.7140968	211.7784012	285.133332	317.538741	281.2088214	201.6935988	260.0596583	274.504169	199.0819144	284.1250257	300.0837694	277.7086102	223.8000069	180.2786027	266.9549142	257.9284334	234.3697652	344.0680774	369.647624	300.861659	231.7946773	190.1408513	305.4242162	293.4388048	312.0760698	288.8053308	262.1321983	265.0318055	306.8620201	205.1593489	237.208236	197.1529368	208.6197181	200.8487648	211.86221	180.5545818	216.7492028	282.6619235	140.5217324	179.1475448	352.4815329	223.2416158	329.1015809	283.2778769	128.096231	274.3932807	290.1344068	185.9343284	334.2017474	184.0159042	369.4165806	215.143418	256.6363124	207.6613033	334.8751523	111.0404034	339.7894689	241.739498	332.1003058	261.1321226	227.7155171
M00166	328.0681558	509.8456176	234.6547551	303.4094118	417.9959436	556.2153575	395.1499575	413.5388072	301.238164	434.9698966	252.9664672	426.0916072	450.770297	398.866001	246.8167805	303.5894893	367.273736	328.320097	408.3644482	489.7624984	469.4578064	262.508401	319.0632006	477.9761001	408.6931828	486.8559182	495.323599	418.1162861	358.3076226	282.0704183	532.1605279	370.0706353	465.8359004	622.4391969	507.7729889	519.0796407	599.5339139	540.3993101	420.8840157	521.1719332	509.1492608	486.8808322	503.0971765	521.5050073	654.8712427	416.2272388	393.1039531	320.6077537	397.9210516	432.9757297	431.9379336	419.943218	399.3301537	492.1748022	301.1336391	397.899419	535.2906117	339.1742429	481.3659053	462.5587444	292.9343763	401.5324493	419.7840331	275.3379923	497.6168587	305.2465712	615.3684466	357.8873634	540.0802282	377.7617077	626.902899	198.2333602	574.5455639	656.7281072	679.4097468	446.8070699	352.3566272
M00167	175.5160673	216.5075923	126.2019811	155.7612885	213.0063951	236.7447527	145.8841473	193.0693089	147.70321	180.3962097	134.7230634	232.8318128	263.0960603	363.1312872	164.1818678	248.7006564	231.7140968	211.7784012	285.133332	317.538741	281.2088214	201.6935988	260.0596583	274.504169	199.0819144	284.1250257	300.0837694	277.7086102	223.8000069	180.2786027	266.9549142	257.9284334	234.3697652	344.0680774	369.647624	300.861659	231.7946773	190.1408513	305.4242162	293.4388048	312.0760698	288.8053308	262.1321983	265.0318055	306.8620201	205.1593489	237.208236	197.1529368	208.6197181	200.8487648	211.86221	180.5545818	216.7492028	282.6619235	140.5217324	179.1475448	352.4815329	223.2416158	329.1015809	283.2778769	128.096231	274.3932807	290.1344068	185.9343284	334.2017474	184.0159042	369.4165806	215.143418	256.6363124	207.6613033	334.8751523	111.0404034	339.7894689	241.739498	332.1003058	261.1321226	227.7155171
M00168	206.0704621	312.2475426	134.4692913	183.6161182	251.8954477	267.6697318	200.8136898	212.7862458	203.1950116	205.6890505	164.7142134	266.7216371	275.9292156	211.5346627	199.0444565	226.1531373	244.4752107	200.0809618	262.3389332	306.8699311	303.8521045	195.9776856	230.3534026	300.7434721	317.3763714	300.0873928	294.9190387	250.2437891	231.475008	180.4097798	345.1719725	221.1312984	247.9540357	326.2894375	409.2517378	405.8872061	280.3699905	209.1589911	300.0241131	340.1268351	342.9286617	344.7265774	313.826816	307.9043874	304.7049145	260.2673291	278.6339243	224.42622	243.1640228	268.5424486	270.5697673	254.780131	210.1844624	296.0192584	148.7522559	271.2475319	292.5737329	228.541889	312.470301	269.5335706	183.9477906	286.0651176	292.2773234	184.1202224	320.1519863	178.8948016	312.5862478	159.5164832	181.0306492	186.8294134	248.9375348	129.6558258	403.4759241	325.7255315	353.6207607	194.3796512	244.005326
M00169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00170	146.07306	162.9008703	95.86117947	134.7978513	159.0894315	220.6014257	149.548423	172.6565842	89.8827925	135.5815552	91.01963562	133.8310488	144.7230886	84.44227267	70.63025301	50.44998516	104.96954	105.2862859	111.6595664	126.3774319	120.1570616	67.54601455	88.58169204	156.7604626	114.6093271	143.2426924	137.1783647	122.5501831	125.1095348	61.64759606	167.324167	162.4360688	224.7912329	305.9464363	454.354281	413.0825153	148.1457354	248.4809183	257.6993659	75.84151783	184.1358616	197.9507909	242.1688667	275.0927972	366.0752958	150.0474341	203.6882555	156.6321934	105.8389996	164.869903	193.9403309	105.029603	148.3470497	238.4839499	81.87400692	152.2277695	309.8188136	69.41265277	117.5246012	216.5111169	72.1033939	230.2951284	239.7973099	175.5202561	276.0936265	183.9316019	339.1405212	150.1509617	361.8629822	181.6484922	408.8623709	74.67026958	234.8550652	332.5877184	332.3682152	206.3318412	170.5521094
